Title,RecommendedTitles
Toy Story (1995),"Aladdin and the King of Thieves (1996)|American Tail, An (1986)|American Tail: Fievel Goes West, An (1991)|Rugrats Movie, The (1998)|Bug's Life, A (1998)|Toy Story 2 (1999)|Saludos Amigos (1943)|Chicken Run (2000)|Adventures of Rocky and Bullwinkle, The (2000)|Goofy Movie, A (1995)"
"Killer, The (Die xue shuang xiong) (1989)","Nick of Time (1995)|Broken Arrow (1996)|Shopping (1994)|Die Hard: With a Vengeance (1995)|Natural Born Killers (1994)|River Wild, The (1994)|Mirage (1995)|Blown Away (1994)|Fugitive, The (1993)|In the Line of Fire (1993)"
Psycho (1960),"Relative Fear (1994)|In the Mouth of Madness (1995)|Thinner (1996)|Halloween: The Curse of Michael Myers (1995)|Believers, The (1987)|Nightwatch (1997)|Scream (1996)|Scream 2 (1997)|Ugly, The (1997)|Poltergeist (1982)"
"Blues Brothers, The (1980)","Blues Brothers 2000 (1998)|Tank Girl (1995)|I Love Trouble (1994)|Low Down Dirty Shame, A (1994)|Beverly Hills Cop III (1994)|Cowboy Way, The (1994)|Last Action Hero (1993)|Joe's Apartment (1996)|Funny Face (1957)|Band Wagon, The (1953)"
"Godfather: Part II, The (1974)","Dead Presidents (1995)|Menace II Society (1993)|Godfather, The (1972)|Godfather: Part III, The (1990)|Untouchables, The (1987)|Limey, The (1999)|Batman (1989)|Best Men (1997)|Lethal Weapon 4 (1998)|French Connection, The (1971)"
Full Metal Jacket (1987),"Braveheart (1995)|Heaven & Earth (1993)|Boat, The (Das Boot) (1981)|Glory (1989)|G.I. Jane (1997)|Saving Private Ryan (1998)|Thin Red Line, The (1998)|Longest Day, The (1962)|Flying Tigers (1942)|Fighting Seabees, The (1944)"
"Grand Day Out, A (1992)","Wrong Trousers, The (1993)|Beavis and Butt-head Do America (1996)|South Park: Bigger, Longer and Uncut (1999)|Creature Comforts (1990)|Toy Story (1995)|Close Shave, A (1995)|Aladdin and the King of Thieves (1996)|Faust (1994)|American Tail, An (1986)|American Tail: Fievel Goes West, An (1991)"
Henry V (1989),"Richard III (1995)|Beyond Rangoon (1995)|Walking Dead, The (1995)|Schindler's List (1993)|Courage Under Fire (1996)|Nothing Personal (1995)|Michael Collins (1996)|Platoon (1986)|Paths of Glory (1957)|Apocalypse Now (1979)"
Amadeus (1984),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
"Quiet Man, The (1952)",Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)|Two if by Sea (1996)|French Twist (Gazon maudit) (1995)|Vampire in Brooklyn (1995)|If Lucy Fell (1996)|Boomerang (1992)|Pie in the Sky (1995)|French Kiss (1995)
Once Upon a Time in America (1984),"Copycat (1995)|Amateur (1994)|Kiss of Death (1995)|Guilty as Sin (1993)|Fargo (1996)|Desperate Measures (1998)|Kiss the Girls (1997)|Thomas Crown Affair, The (1968)|Professional, The (a.k.a. Leon: The Professional) (1994)|Bound (1996)"
Raging Bull (1980),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Annie Hall (1977),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)|Two if by Sea (1996)|French Twist (Gazon maudit) (1995)|Vampire in Brooklyn (1995)|If Lucy Fell (1996)|Boomerang (1992)|Pie in the Sky (1995)|French Kiss (1995)
"Right Stuff, The (1983)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Stalker (1979),"2010 (1984)|X-Files: Fight the Future, The (1998)|Congo (1995)|301, 302 (1995)|Alphaville (1965)|2001: A Space Odyssey (1968)|Thin Man, The (1934)|Moonlight Murder (1936)|Woman in Question, The (1950)|Brazil (1985)"
"Boat, The (Das Boot) (1981)","Braveheart (1995)|Heaven & Earth (1993)|Full Metal Jacket (1987)|Glory (1989)|G.I. Jane (1997)|Saving Private Ryan (1998)|Thin Red Line, The (1998)|Longest Day, The (1962)|Flying Tigers (1942)|Fighting Seabees, The (1944)"
"Sting, The (1973)","Striptease (1996)|Carpool (1996)|Some Like It Hot (1959)|Grosse Pointe Blank (1997)|Twin Town (1997)|Mafia! (1998)|Very Bad Things (1998)|Armed and Dangerous (1986)|Sister Act (1992)|Whole Nine Yards, The (2000)"
Harold and Maude (1971),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Trust (1990),"Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)"
"Seventh Seal, The (Sjunde inseglet, Det) (1957)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Local Hero (1983),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
"Terminator, The (1984)","Johnny Mnemonic (1995)|Nemesis 2: Nebula (1995)|Terminator 2: Judgment Day (1991)|Solo (1996)|Arrival, The (1996)|Lawnmower Man, The (1992)|Face/Off (1997)|Lost in Space (1998)|Matrix, The (1999)|eXistenZ (1999)"
Braindead (1992),"Dracula: Dead and Loving It (1995)|Tales from the Hood (1995)|Cemetery Man (Dellamorte Dellamore) (1994)|Frighteners, The (1996)|Bad Taste (1987)|Young Frankenstein (1974)|April Fool's Day (1986)|Machine, The (1994)|Gremlins (1984)|Gremlins 2: The New Batch (1990)"
Glory (1989),"Braveheart (1995)|Heaven & Earth (1993)|Full Metal Jacket (1987)|Boat, The (Das Boot) (1981)|G.I. Jane (1997)|Saving Private Ryan (1998)|Thin Red Line, The (1998)|Longest Day, The (1962)|Flying Tigers (1942)|Fighting Seabees, The (1944)"
Rosencrantz and Guildenstern Are Dead (1990),"Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)"
Manhattan (1979),"American President, The (1995)|Something to Talk About (1995)|Don Juan DeMarco (1995)|Corrina, Corrina (1994)|I Like It Like That (1994)|What Happened Was... (1994)|Emma (1996)|Twelfth Night (1996)|Cinema Paradiso (1988)|Wings of Desire (Der Himmel über Berlin) (1987)"
Miller's Crossing (1990),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Dead Poets Society (1989),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
"Graduate, The (1967)","Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)|How to Make an American Quilt (1995)|When Night Is Falling (1995)|Postino, Il (The Postman) (1994)|Bed of Roses (1996)|Angels and Insects (1995)|Bridges of Madison County, The (1995)|Frankie Starlight (1995)"
Touch of Evil (1958),"Mulholland Falls (1996)|He Walked by Night (1948)|M (1931)|Devil in a Blue Dress (1995)|L.A. Confidential (1997)|Key Largo (1948)|Seven (Se7en) (1995)|Usual Suspects, The (1995)|Suture (1993)|Romeo Is Bleeding (1993)"
Nikita (La Femme Nikita) (1990),"Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)|Jade (1995)|Mute Witness (1994)|Safe (1995)|Tie That Binds, The (1995)|Dream Man (1995)|Hideaway (1995)|Poison Ivy II (1995)"
"Bridge on the River Kwai, The (1957)","Richard III (1995)|Beyond Rangoon (1995)|Walking Dead, The (1995)|Schindler's List (1993)|Courage Under Fire (1996)|Nothing Personal (1995)|Michael Collins (1996)|Platoon (1986)|Paths of Glory (1957)|Apocalypse Now (1979)"
8 1/2 (1963),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Chinatown (1974),"Palmetto (1998)|Angel Heart (1987)|Devil in a Blue Dress (1995)|L.A. Confidential (1997)|Just Cause (1995)|Suture (1993)|Underneath, The (1995)|True Crime (1995)|Heaven's Prisoners (1996)|Vertigo (1958)"
"Day the Earth Stood Still, The (1951)","Powder (1995)|Twelve Monkeys (1995)|Until the End of the World (Bis ans Ende der Welt) (1991)|Contact (1997)|Nineteen Eighty-Four (1984)|Goodbye, 20th Century (Zbogum na dvadesetiot vek) (1998)|Conceiving Ada (1997)|Close Encounters of the Third Kind (1977)|Solaris (Solyaris) (1972)|Brother from Another Planet, The (1984)"
"Treasure of the Sierra Madre, The (1948)","Phantom, The (1996)|Mark of Zorro, The (1940)|Macao (1952)|Man Who Would Be King, The (1975)|Prince Valiant (1997)|Mutiny on the Bounty (1935)|Firewalker (1986)|Beyond the Poseidon Adventure (1979)|Napoleon and Samantha (1972)|Quest for Fire (1981)"
Bad Taste (1987),"Dracula: Dead and Loving It (1995)|Tales from the Hood (1995)|Cemetery Man (Dellamorte Dellamore) (1994)|Frighteners, The (1996)|Braindead (1992)|Young Frankenstein (1974)|April Fool's Day (1986)|Machine, The (1994)|Gremlins (1984)|Gremlins 2: The New Batch (1990)"
Duck Soup (1933),Canadian Bacon (1994)|In the Army Now (1994)|Bananas (1971)|Mediterraneo (1991)|M*A*S*H (1970)|McHale's Navy (1997)|And the Ship Sails On (E la nave va) (1984)|How I Won the War (1967)|Forrest Gump (1994)|Hot Shots! Part Deux (1993)
Better Off Dead... (1985),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
"Shining, The (1980)","Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Spirits of the Dead (Tre Passi nel Delirio) (1968)"
Stand by Me (1986),"Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|White Squall (1996)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)"
M (1931),"Mulholland Falls (1996)|He Walked by Night (1948)|Touch of Evil (1958)|Devil in a Blue Dress (1995)|L.A. Confidential (1997)|Key Largo (1948)|Seven (Se7en) (1995)|Usual Suspects, The (1995)|Suture (1993)|Romeo Is Bleeding (1993)"
Evil Dead II (Dead By Dawn) (1987),"Army of Darkness (1993)|Three Musketeers, The (1993)|Blade (1998)|King Kong (1933)|King Kong (1976)|King Kong Lives (1986)|Mystery Men (1999)|Golden Child, The (1986)|Operation Condor (Feiying gaiwak) (1990)|Operation Condor 2 (Longxiong hudi) (1990)"
"Great Escape, The (1963)","For Whom the Bell Tolls (1943)|Lawrence of Arabia (1962)|Great Locomotive Chase, The (1956)|Where Eagles Dare (1969)|Captain Horatio Hornblower (1951)|Land and Freedom (Tierra y libertad) (1995)|Underground (1995)|Operation Dumbo Drop (1995)|Stalingrad (1993)|Phantom, The (1996)"
"Deer Hunter, The (1978)","Richard III (1995)|Beyond Rangoon (1995)|Walking Dead, The (1995)|Schindler's List (1993)|Courage Under Fire (1996)|Nothing Personal (1995)|Michael Collins (1996)|Platoon (1986)|Paths of Glory (1957)|Apocalypse Now (1979)"
Diva (1981),"Conspiracy Theory (1997)|Bodyguard, The (1992)|Breathless (1983)|Guardian Angel (1994)|Chungking Express (1994)|Desperado (1995)|Outbreak (1995)|Client, The (1994)|Crow, The (1994)|Speed (1994)"
Groundhog Day (1993),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)|Two if by Sea (1996)|French Twist (Gazon maudit) (1995)|Vampire in Brooklyn (1995)|If Lucy Fell (1996)|Boomerang (1992)|Pie in the Sky (1995)|French Kiss (1995)
Unforgiven (1992),"Wild Bill (1995)|Wyatt Earp (1994)|Bad Girls (1994)|Tombstone (1993)|Wild Bunch, The (1969)|Dead Man (1995)|Angel and the Badman (1947)|Outlaw, The (1943)|Davy Crockett, King of the Wild Frontier (1955)|Once Upon a Time in the West (1969)"
"Manchurian Candidate, The (1962)","Suture (1993)|Murder, My Sweet (1944)|Cape Fear (1962)|Strangers on a Train (1951)|Shadow of a Doubt (1943)|Mulholland Falls (1996)|Notorious (1946)|He Walked by Night (1948)|Touch of Evil (1958)|Chinatown (1974)"
Pump Up the Volume (1990),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Arsenic and Old Lace (1944),"Charade (1963)|Big Lebowski, The (1998)|Lady Vanishes, The (1938)|Just Cause (1995)|Underneath, The (1995)|Another Stakeout (1993)|Manhattan Murder Mystery (1993)|True Crime (1995)|Heaven's Prisoners (1996)|Vertigo (1958)"
Back to the Future (1985),"Junior (1994)|Coneheads (1993)|Mystery Science Theater 3000: The Movie (1996)|Visitors, The (Les Visiteurs) (1993)|Sleeper (1973)|Delicatessen (1991)|Repo Man (1984)|Back to the Future Part II (1989)|Cocoon (1985)|Cocoon: The Return (1988)"
Fried Green Tomatoes (1991),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Patton (1970),"Richard III (1995)|Beyond Rangoon (1995)|Walking Dead, The (1995)|Schindler's List (1993)|Courage Under Fire (1996)|Nothing Personal (1995)|Michael Collins (1996)|Platoon (1986)|Paths of Glory (1957)|Apocalypse Now (1979)"
Down by Law (1986),"Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)"
Akira (1988),"Sphere (1998)|Saturn 3 (1979)|Titan A.E. (2000)|Escape from L.A. (1996)|Abyss, The (1989)|Escape from New York (1981)|Lost World: Jurassic Park, The (1997)|Spawn (1997)|Armageddon (1998)|Lord of the Rings, The (1978)"
Highlander (1986),"Mortal Kombat (1995)|Waterworld (1995)|Good Man in Africa, A (1994)|Quest, The (1996)|Fled (1996)|Adventures of Robin Hood, The (1938)|Ghost and the Darkness, The (1996)|Raiders of the Lost Ark (1981)|Indiana Jones and the Last Crusade (1989)|Conan the Barbarian (1982)"
Cool Hand Luke (1967),"Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)"
Cyrano de Bergerac (1990),"Man in the Iron Mask, The (1998)|First Knight (1995)|Excalibur (1981)|Bodyguard, The (1992)|Breathless (1983)|Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)|How to Make an American Quilt (1995)|When Night Is Falling (1995)"
Young Frankenstein (1974),"Dracula: Dead and Loving It (1995)|Tales from the Hood (1995)|Cemetery Man (Dellamorte Dellamore) (1994)|Frighteners, The (1996)|Braindead (1992)|Bad Taste (1987)|April Fool's Day (1986)|Machine, The (1994)|Gremlins (1984)|Gremlins 2: The New Batch (1990)"
Night on Earth (1991),"Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)"
Raise the Red Lantern (1991),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
"Great Dictator, The (1940)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Fantasia (1940),"Lion King, The (1994)|Snow White and the Seven Dwarfs (1937)|Beauty and the Beast (1991)|All Dogs Go to Heaven 2 (1996)|James and the Giant Peach (1996)|Hunchback of Notre Dame, The (1996)|Cinderella (1950)|Three Caballeros, The (1945)|Dumbo (1941)|Alice in Wonderland (1951)"
High Noon (1952),"Wild Bill (1995)|Wyatt Earp (1994)|Bad Girls (1994)|Tombstone (1993)|Wild Bunch, The (1969)|Dead Man (1995)|Angel and the Badman (1947)|Outlaw, The (1943)|Davy Crockett, King of the Wild Frontier (1955)|Once Upon a Time in the West (1969)"
"Big Sleep, The (1946)","Maltese Falcon, The (1941)|Laura (1944)|Chinatown (1974)|Palmetto (1998)|Angel Heart (1987)|Devil in a Blue Dress (1995)|301, 302 (1995)|Force of Evil (1948)|Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)|Thin Man, The (1934)"
Heathers (1989),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Somewhere in Time (1980),"Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)|How to Make an American Quilt (1995)|When Night Is Falling (1995)|Postino, Il (The Postman) (1994)|Bed of Roses (1996)|Angels and Insects (1995)|Bridges of Madison County, The (1995)|Frankie Starlight (1995)"
Ben-Hur (1959),"Emerald Forest, The (1985)|Karate Kid, Part II, The (1986)|Karate Kid III, The (1989)|Knightriders (1981)|First Knight (1995)|Batman (1989)|Runaway Train (1985)|Mortal Kombat (1995)|White Squall (1996)|Target (1995)"
This Is Spinal Tap (1984),"Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Misérables, Les (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
Koyaanisqatsi (1983),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)|Catwalk (1995)|Anne Frank Remembered (1995)|Jupiter's Wife (1994)|Sonic Outlaws (1995)|From the Journals of Jean Seberg (1995)|Man of the Year (1995)|Crumb (1994)
Some Kind of Wonderful (1987),"Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)|How to Make an American Quilt (1995)|When Night Is Falling (1995)|Postino, Il (The Postman) (1994)|Bed of Roses (1996)|Angels and Insects (1995)|Bridges of Madison County, The (1995)|Frankie Starlight (1995)"
Indiana Jones and the Last Crusade (1989),"Mortal Kombat (1995)|Waterworld (1995)|Good Man in Africa, A (1994)|Quest, The (1996)|Fled (1996)|Adventures of Robin Hood, The (1938)|Ghost and the Darkness, The (1996)|Raiders of the Lost Ark (1981)|Highlander (1986)|Conan the Barbarian (1982)"
Being There (1979),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Gandhi (1982),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
M*A*S*H (1970),Canadian Bacon (1994)|In the Army Now (1994)|Bananas (1971)|Mediterraneo (1991)|Duck Soup (1933)|McHale's Navy (1997)|And the Ship Sails On (E la nave va) (1984)|How I Won the War (1967)|Forrest Gump (1994)|Hot Shots! Part Deux (1993)
"Unbearable Lightness of Being, The (1988)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
"Room with a View, A (1986)","Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)|How to Make an American Quilt (1995)|When Night Is Falling (1995)|Postino, Il (The Postman) (1994)|Bed of Roses (1996)|Angels and Insects (1995)|Bridges of Madison County, The (1995)|Frankie Starlight (1995)"
Real Genius (1985),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Pink Floyd - The Wall (1982),"Richard III (1995)|Misérables, Les (1995)|Beyond Rangoon (1995)|Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)|Farinelli: il castrato (1994)|Walking Dead, The (1995)|Backbeat (1993)|Schindler's List (1993)|Courage Under Fire (1996)|Nothing Personal (1995)"
"Killing Fields, The (1984)","Richard III (1995)|Beyond Rangoon (1995)|Walking Dead, The (1995)|Schindler's List (1993)|Courage Under Fire (1996)|Nothing Personal (1995)|Michael Collins (1996)|Platoon (1986)|Paths of Glory (1957)|Apocalypse Now (1979)"
My Life as a Dog (Mitt liv som hund) (1985),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Forbidden Planet (1956),"Alphaville (1965)|Brazil (1985)|Clockwork Orange, A (1971)|Tetsuo II: Body Hammer (1992)|Metropolis (1926)|Black Hole, The (1979)|Meteor (1979)|Sticky Fingers of Time, The (1997)|Flying Saucer, The (1950)|Thing From Another World, The (1951)"
Field of Dreams (1989),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
"Man Who Would Be King, The (1975)","Phantom, The (1996)|Mark of Zorro, The (1940)|Macao (1952)|Treasure of the Sierra Madre, The (1948)|Prince Valiant (1997)|Mutiny on the Bounty (1935)|Firewalker (1986)|Beyond the Poseidon Adventure (1979)|Napoleon and Samantha (1972)|Quest for Fire (1981)"
Butch Cassidy and the Sundance Kid (1969),"Maverick (1994)|Young Guns (1988)|Young Guns II (1990)|I Love Trouble (1994)|Low Down Dirty Shame, A (1994)|Beverly Hills Cop III (1994)|City Slickers II: The Legend of Curly's Gold (1994)|Cowboy Way, The (1994)|Last Action Hero (1993)|Lightning Jack (1994)"
"Paris, Texas (1984)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Until the End of the World (Bis ans Ende der Welt) (1991),"Powder (1995)|Twelve Monkeys (1995)|Day the Earth Stood Still, The (1951)|Contact (1997)|Nineteen Eighty-Four (1984)|Goodbye, 20th Century (Zbogum na dvadesetiot vek) (1998)|Conceiving Ada (1997)|Close Encounters of the Third Kind (1977)|Solaris (Solyaris) (1972)|Brother from Another Planet, The (1984)"
When Harry Met Sally... (1989),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)|Two if by Sea (1996)|French Twist (Gazon maudit) (1995)|Vampire in Brooklyn (1995)|If Lucy Fell (1996)|Boomerang (1992)|Pie in the Sky (1995)|French Kiss (1995)
I Shot a Man in Vegas (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Parallel Sons (1995),"Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)|How to Make an American Quilt (1995)|When Night Is Falling (1995)|Postino, Il (The Postman) (1994)|Bed of Roses (1996)|Angels and Insects (1995)|Bridges of Madison County, The (1995)|Frankie Starlight (1995)"
Hype! (1996),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)|Catwalk (1995)|Anne Frank Remembered (1995)|Jupiter's Wife (1994)|Sonic Outlaws (1995)|From the Journals of Jean Seberg (1995)|Man of the Year (1995)|Crumb (1994)
Santa with Muscles (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Female Perversions (1996),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
