Title,RecommendedTitles
Toy Story (1995),"Aladdin and the King of Thieves (1996)|American Tail, An (1986)|American Tail: Fievel Goes West, An (1991)"
Second Best (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Secret Garden, The (1993)","Fluke (1995)|Little Princess, A (1995)|Kim (1950)"
Serial Mom (1994),Dracula: Dead and Loving It (1995)|Tales from the Hood (1995)|Cemetery Man (Dellamorte Dellamore) (1994)
"Shadow, The (1994)",Sudden Death (1995)|Money Train (1995)|Fair Game (1995)
Shadowlands (1993),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Short Cuts (1993),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Simple Twist of Fate, A (1994)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Sirens (1994),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Six Degrees of Separation (1993),Nixon (1995)|Othello (1995)|Now and Then (1995)
Sleepless in Seattle (1993),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Sliver (1993),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Blade Runner (1982),Dark City (1998)|Alphaville (1965)|Force of Evil (1948)
Son in Law (1993),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
So I Married an Axe Murderer (1993),Ghost (1990)|To Catch a Thief (1955)|Charade (1963)
Striking Distance (1993),Sudden Death (1995)|Money Train (1995)|Fair Game (1995)
Harlem (1993),Nixon (1995)|Othello (1995)|Now and Then (1995)
Super Mario Bros. (1993),Judge Dredd (1995)|Stargate (1994)|Star Trek: Generations (1994)
Surviving the Game (1994),"GoldenEye (1995)|Clear and Present Danger (1994)|Rock, The (1996)"
Terminal Velocity (1994),Sudden Death (1995)|Money Train (1995)|Fair Game (1995)
Thirty-Two Short Films About Glenn Gould (1993),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
Threesome (1994),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
"Nightmare Before Christmas, The (1993)",Mary Poppins (1964)|Muppet Treasure Island (1996)|Aladdin (1992)
"Three Musketeers, The (1993)","Mystery Men (1999)|Golden Child, The (1986)|Operation Condor (Feiying gaiwak) (1990)"
Tombstone (1993),Wild Bill (1995)|Wyatt Earp (1994)|Bad Girls (1994)
Trial by Jury (1994),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
True Romance (1993),"Truth or Consequences, N.M. (1997)|Out of Sight (1998)|Run Lola Run (Lola rennt) (1998)"
"War Room, The (1993)",Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
Mamma Roma (1962),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Pagemaster, The (1994)",Warriors of Virtue (1997)|Quest for Camelot (1998)|Space Jam (1996)
"Paris, France (1993)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Beans of Egypt, Maine, The (1994)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Killer (Bulletproof Heart) (1994),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Welcome to the Dollhouse (1995),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Germinal (1993),Nixon (1995)|Othello (1995)|Now and Then (1995)
Chasers (1994),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Cronos (1992),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Naked in New York (1994),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Kika (1993),Nixon (1995)|Othello (1995)|Now and Then (1995)
Bhaji on the Beach (1993),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Little Big League (1994),"Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)"
"Slingshot, The (K�disbellan ) (1993)",Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
"Wedding Gift, The (1994)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Foreign Student (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Ciao, Professore! (Io speriamo che me la cavo ) (1993)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Spanking the Monkey (1994),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
"Little Rascals, The (1994)","Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)"
Fausto (1993),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Andre (1994),"Tom and Huck (1995)|Amazing Panda Adventure, The (1995)|Casper (1995)"
"Hour of the Pig, The (1993)","Confessional, The (Le Confessionnal) (1995)|Before and After (1996)|Lone Star (1996)"
"Scorta, La (1993)",Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Princess Caraboo (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Celluloid Closet, The (1995)",Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
Metisse (Caf� au Lait) (1993),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Dear Diary (Caro Diario) (1994),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
I Don't Want to Talk About It (De eso no se habla) (1993),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Brady Bunch Movie, The (1995)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Home Alone (1990),"Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)"
Ghost (1990),So I Married an Axe Murderer (1993)|To Catch a Thief (1955)|Charade (1963)
Aladdin (1992),"Jungle Book, The (1967)|Steamboat Willie (1940)|Hercules (1997)"
Terminator 2: Judgment Day (1991),Johnny Mnemonic (1995)|Nemesis 2: Nebula (1995)|Solo (1996)
Dances with Wolves (1990),"White Squall (1996)|War, The (1994)|Geronimo: An American Legend (1993)"
Tough and Deadly (1995),Guardian Angel (1994)|Outbreak (1995)|Condition Red (1995)
Batman (1989),Dead Presidents (1995)|Rumble in the Bronx (1995)|Cliffhanger (1993)
"Silence of the Lambs, The (1991)","Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
Snow White and the Seven Dwarfs (1937),"Lion King, The (1994)|Beauty and the Beast (1991)|All Dogs Go to Heaven 2 (1996)"
Beauty and the Beast (1991),"Lion King, The (1994)|Snow White and the Seven Dwarfs (1937)|All Dogs Go to Heaven 2 (1996)"
Pinocchio (1940),"Balto (1995)|Gumby: The Movie (1995)|Swan Princess, The (1994)"
Pretty Woman (1990),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Window to Paris (1994),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Wild Bunch, The (1969)",Wild Bill (1995)|Wyatt Earp (1994)|Bad Girls (1994)
Love and a .45 (1994),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
"Wooden Man's Bride, The (Wu Kui) (1994)",Nixon (1995)|Othello (1995)|Now and Then (1995)
"Great Day in Harlem, A (1994)",Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
"Bye Bye, Love (1995)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Criminals (1996),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
One Fine Day (1996),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Candyman: Farewell to the Flesh (1995),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Century (1993),Nixon (1995)|Othello (1995)|Now and Then (1995)
Fargo (1996),Copycat (1995)|Amateur (1994)|Kiss of Death (1995)
Homeward Bound II: Lost in San Francisco (1996),"Tom and Huck (1995)|Amazing Panda Adventure, The (1995)|Casper (1995)"
Heavy Metal (1981),Army of Darkness (1993)|Judge Dredd (1995)|Stargate (1994)
Hellraiser: Bloodline (1996),Alien: Resurrection (1997)|Deep Rising (1998)|Alligator (1980)
"Pallbearer, The (1996)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Jane Eyre (1996),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Loaded (1994),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
Bread and Chocolate (Pane e cioccolata) (1973),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Aristocats, The (1970)","Balto (1995)|Gumby: The Movie (1995)|Swan Princess, The (1994)"
"Flower of My Secret, The (La Flor de Mi Secreto) (1995)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Two Much (1996),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Ed (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Scream of Stone (Schrei aus Stein) (1991),Nixon (1995)|Othello (1995)|Now and Then (1995)
My Favorite Season (1993),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Modern Affair, A (1995)","Persuasion (1995)|Jack and Sarah (1995)|Promise, The (Versprechen, Das) (1994)"
Condition Red (1995),Guardian Angel (1994)|Outbreak (1995)|Tough and Deadly (1995)
Asfour Stah (1990),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Thin Line Between Love and Hate, A (1996)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Last Supper, The (1995)","Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
Primal Fear (1996),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
Rude (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Carried Away (1996),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
All Dogs Go to Heaven 2 (1996),"Lion King, The (1994)|Snow White and the Seven Dwarfs (1937)|Beauty and the Beast (1991)"
Land and Freedom (Tierra y libertad) (1995),Underground (1995)|Stalingrad (1993)|Pharaoh's Army (1995)
Denise Calls Up (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Theodore Rex (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Family Thing, A (1996)",Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Frisk (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Sgt. Bilko (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Jack and Sarah (1995),"Persuasion (1995)|Modern Affair, A (1995)|Promise, The (Versprechen, Das) (1994)"
Girl 6 (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Diabolique (1996),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
"Little Indian, Big City (Un indien dans la ville) (1994)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Roula (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Peanuts - Die Bank zahlt alles (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Happy Weekend (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Nelly & Monsieur Arnaud (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Courage Under Fire (1996),"Richard III (1995)|Beyond Rangoon (1995)|Walking Dead, The (1995)"
Mission: Impossible (1996),Young Sherlock Holmes (1985)|Congo (1995)|Mortal Kombat (1995)
Cold Fever (� k�ldum klaka) (1994),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Moll Flanders (1996),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Superweib, Das (1996)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"301, 302 (1995)","Thin Man, The (1934)|Moonlight Murder (1936)|Woman in Question, The (1950)"
Dragonheart (1996),"Willow (1988)|7th Voyage of Sinbad, The (1958)|Supergirl (1984)"
Und keiner weint mir nach (1996),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Mutters Courage (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Eddie (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Yankee Zulu (1994),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Billy's Holiday (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Purple Noon (1960),"Seven (Se7en) (1995)|Usual Suspects, The (1995)|Romeo Is Bleeding (1993)"
August (1996),Nixon (1995)|Othello (1995)|Now and Then (1995)
James and the Giant Peach (1996),"Lion King, The (1994)|Snow White and the Seven Dwarfs (1937)|Beauty and the Beast (1991)"
Fear (1996),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Kids in the Hall: Brain Candy (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Faithful (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Underground (1995),Land and Freedom (Tierra y libertad) (1995)|Stalingrad (1993)|Pharaoh's Army (1995)
All Things Fair (1996),Nixon (1995)|Othello (1995)|Now and Then (1995)
Bloodsport 2 (1995),Sudden Death (1995)|Money Train (1995)|Fair Game (1995)
Pather Panchali (1955),Nixon (1995)|Othello (1995)|Now and Then (1995)
Aparajito (1956),Nixon (1995)|Othello (1995)|Now and Then (1995)
"World of Apu, The (Apur Sansar) (1959)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Mystery Science Theater 3000: The Movie (1996),"Junior (1994)|Coneheads (1993)|Visitors, The (Les Visiteurs) (1993)"
Tarantella (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Space Jam (1996),"Willy Wonka and the Chocolate Factory (1971)|Borrowers, The (1997)|Quest for Camelot (1998)"
Barbarella (1968),"City of Lost Children, The (1995)|Mighty Peking Man (Hsing hsing wang) (1977)|My Science Project (1985)"
Hostile Intentions (1994),Guardian Angel (1994)|Outbreak (1995)|Tough and Deadly (1995)
They Bite (1996),Nixon (1995)|Othello (1995)|Now and Then (1995)
Some Folks Call It a Sling Blade (1993),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
"Run of the Country, The (1995)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Alphaville (1965),"Brazil (1985)|Clockwork Orange, A (1971)|Forbidden Planet (1956)"
Clean Slate (Coup de Torchon) (1981),"Young Poisoner's Handbook, The (1995)|Switchblade Sisters (1975)|Original Gangstas (1996)"
Tigrero: A Film That Was Never Made (1994),Looking for Richard (1996)|JLG/JLG - autoportrait de d�cembre (1994)|Endurance (1998)
"Eye of Vichy, The (Oeil de Vichy, L') (1993)",Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
Windows (1980),Nixon (1995)|Othello (1995)|Now and Then (1995)
It's My Party (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Country Life (1994),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Operation Dumbo Drop (1995),"Hot Shots! Part Deux (1993)|Three Musketeers, The (1993)|Mystery Men (1999)"
"Promise, The (Versprechen, Das) (1994)","Persuasion (1995)|Modern Affair, A (1995)|Jack and Sarah (1995)"
Mrs. Winterbourne (1996),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Solo (1996),Johnny Mnemonic (1995)|Nemesis 2: Nebula (1995)|Terminator 2: Judgment Day (1991)
Under the Domin Tree (Etz Hadomim Tafus) (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Substitute, The (1996)",Sudden Death (1995)|Money Train (1995)|Fair Game (1995)
True Crime (1995),"Just Cause (1995)|Underneath, The (1995)|Heaven's Prisoners (1996)"
Butterfly Kiss (1995),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Feeling Minnesota (1996),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Delta of Venus (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
To Cross the Rubicon (1991),Nixon (1995)|Othello (1995)|Now and Then (1995)
Angus (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Daens (1992),Nixon (1995)|Othello (1995)|Now and Then (1995)
Faces (1968),Nixon (1995)|Othello (1995)|Now and Then (1995)
Boys (1996),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Quest, The (1996)","Mortal Kombat (1995)|Waterworld (1995)|Good Man in Africa, A (1994)"
Cosi (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Sunset Park (1996),Nixon (1995)|Othello (1995)|Now and Then (1995)
Mulholland Falls (1996),He Walked by Night (1948)|Touch of Evil (1958)|M (1931)
"Truth About Cats & Dogs, The (1996)",Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Oliver & Company (1988),"Balto (1995)|Gumby: The Movie (1995)|Swan Princess, The (1994)"
Celtic Pride (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Flipper (1996),"Tom and Huck (1995)|Amazing Panda Adventure, The (1995)|Casper (1995)"
Captives (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
Of Love and Shadows (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
Dead Man (1995),Wild Bill (1995)|Wyatt Earp (1994)|Bad Girls (1994)
"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Switchblade Sisters (1975),"Young Poisoner's Handbook, The (1995)|Clean Slate (Coup de Torchon) (1981)|Original Gangstas (1996)"
Mouth to Mouth (Boca a boca) (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Visitors, The (Les Visiteurs) (1993)",Junior (1994)|Coneheads (1993)|Mystery Science Theater 3000: The Movie (1996)
Multiplicity (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Wallace & Gromit: The Best of Aardman Animation (1996),I Married A Strange Person (1997)|Balto (1995)|Gumby: The Movie (1995)
Halfmoon (Paul Bowles - Halbmond) (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Haunted World of Edward D. Wood Jr., The (1995)",Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
Two Friends (1986),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Craft, The (1996)",Interview with the Vampire (1994)|Mary Shelley's Frankenstein (1994)|Beyond Bedlam (1993)
"Great White Hype, The (1996)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Last Dance (1996),Nixon (1995)|Othello (1995)|Now and Then (1995)
War Stories (1995),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
Cold Comfort Farm (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Institute Benjamenta, or This Dream People Call Human Life (1995)",Nixon (1995)|Othello (1995)|Now and Then (1995)
"Low Life, The (1994)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Heaven's Prisoners (1996),"Just Cause (1995)|Underneath, The (1995)|True Crime (1995)"
Original Gangstas (1996),"Young Poisoner's Handbook, The (1995)|Clean Slate (Coup de Torchon) (1981)|Switchblade Sisters (1975)"
"Rock, The (1996)",GoldenEye (1995)|Clear and Present Danger (1994)|Surviving the Game (1994)
Getting Away With Murder (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Cemetery Man (Dellamorte Dellamore) (1994),"Dracula: Dead and Loving It (1995)|Tales from the Hood (1995)|Frighteners, The (1996)"
Twister (1996),Bird on a Wire (1990)|GoldenEye (1995)|Cutthroat Island (1995)
Barb Wire (1996),Timecop (1994)|Highlander III: The Sorcerer (1994)|Demolition Man (1993)
"Garcu, Le (1995)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Honigmond (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Ghost in the Shell (Kokaku kidotai) (1995),"Fantastic Planet, The (La Plan�te sauvage) (1973)|Time Masters (Les Ma�tres du Temps) (1982)|Titan A.E. (2000)"
Thinner (1996),Relative Fear (1994)|In the Mouth of Madness (1995)|Halloween: The Curse of Michael Myers (1995)
Spy Hard (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Brothers in Trouble (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Close Shave, A (1995)","Faust (1994)|Another Stakeout (1993)|Wrong Trousers, The (1993)"
Force of Evil (1948),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)|Raw Deal (1948)|T-Men (1947)
"Stupids, The (1996)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Arrival, The (1996)",Johnny Mnemonic (1995)|Nemesis 2: Nebula (1995)|Terminator 2: Judgment Day (1991)
"Man from Down Under, The (1943)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Independence Day (ID4) (1996)|Them! (1954)|War of the Worlds, The (1953)"
Careful (1992),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Vermont Is For Lovers (1992),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
"Month by the Lake, A (1995)",Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Gold Diggers: The Secret of Bear Mountain (1995),"Tom and Huck (1995)|Amazing Panda Adventure, The (1995)|Casper (1995)"
Kim (1950),"Fluke (1995)|Little Princess, A (1995)|Secret Garden, The (1993)"
Carmen Miranda: Bananas Is My Business (1994),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
Ashes of Time (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Jar, The (Khomreh) (1992)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Maya Lin: A Strong Clear Vision (1994),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
Stalingrad (1993),Land and Freedom (Tierra y libertad) (1995)|Underground (1995)|Pharaoh's Army (1995)
"Phantom, The (1996)","Mark of Zorro, The (1940)|Macao (1952)|Treasure of the Sierra Madre, The (1948)"
Striptease (1996),"Carpool (1996)|Some Like It Hot (1959)|Sting, The (1973)"
"Last of the High Kings, The (a.k.a. Summer Fling) (1996)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Heavy (1995),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Jack (1996),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
I Shot Andy Warhol (1996),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Grass Harp, The (1995)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Someone Else's America (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Marlene Dietrich: Shadow and Light (1996),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
Costa Brava (1946),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Vie est belle, La (Life is Rosey) (1987)",Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Quartier Mozart (1992),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Touki Bouki (Journey of the Hyena) (1973),Nixon (1995)|Othello (1995)|Now and Then (1995)
Wend Kuuni (God's Gift) (1982),Nixon (1995)|Othello (1995)|Now and Then (1995)
Spirits of the Dead (Tre Passi nel Delirio) (1968),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Babyfever (1994),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Pharaoh's Army (1995),Land and Freedom (Tierra y libertad) (1995)|Underground (1995)|Stalingrad (1993)
Trainspotting (1996),Nixon (1995)|Othello (1995)|Now and Then (1995)
'Til There Was You (1997),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Independence Day (ID4) (1996),"War of the Worlds, The (1953)|Aliens (1986)|Mars Attacks! (1996)"
Stealing Beauty (1996),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Fan, The (1996)",Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
"Hunchback of Notre Dame, The (1996)","Lion King, The (1994)|Snow White and the Seven Dwarfs (1937)|Beauty and the Beast (1991)"
"Cable Guy, The (1996)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Kingpin (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Eraser (1996),Nick of Time (1995)|Broken Arrow (1996)|Shopping (1994)
"Gate of Heavenly Peace, The (1995)",Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
"Nutty Professor, The (1996)",Splash (1984)|Free Enterprise (1998)|Grumpier Old Men (1995)
"I, Worst of All (Yo, la peor de todas) (1990)",Nixon (1995)|Othello (1995)|Now and Then (1995)
An Unforgettable Summer (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1995)",Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
"Hungarian Fairy Tale, A (1987)","Drop Dead Fred (1991)|Simple Wish, A (1997)|Dune (1984)"
My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993),Nixon (1995)|Othello (1995)|Now and Then (1995)
Midnight Dancers (Sibak) (1994),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Somebody to Love (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Very Natural Thing, A (1974)",Nixon (1995)|Othello (1995)|Now and Then (1995)
"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Daylight (1996),GoldenEye (1995)|Clear and Present Danger (1994)|Surviving the Game (1994)
"Frighteners, The (1996)",Dracula: Dead and Loving It (1995)|Tales from the Hood (1995)|Cemetery Man (Dellamorte Dellamore) (1994)
Lone Star (1996),"Confessional, The (Le Confessionnal) (1995)|Before and After (1996)|Hour of the Pig, The (1993)"
Harriet the Spy (1996),"Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)"
Phenomenon (1996),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Walking and Talking (1996),"Persuasion (1995)|Modern Affair, A (1995)|Jack and Sarah (1995)"
She's the One (1996),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
"Time to Kill, A (1996)",Nixon (1995)|Othello (1995)|Now and Then (1995)
American Buffalo (1996),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)",Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Alaska (1996),"Tom and Huck (1995)|Amazing Panda Adventure, The (1995)|Casper (1995)"
Fled (1996),"Mortal Kombat (1995)|Waterworld (1995)|Good Man in Africa, A (1994)"
Kazaam (1996),"Santa Clause, The (1994)|Flubber (1997)|Absent Minded Professor, The (1961)"
